,Unnamed: 0,date,Humi.x,dew.x,snow.x,Humi.y,dew.y,snow.y,Humi,dew,snow
26,26,2013.1.2 10:00,35.0,-24.2,10.9,44.5,-19.9,14.45,39.75,-22.049999999999997,12.675
27,27,2013.1.2 11:00,38.0,-23.2,10.8,45.0,-19.15,14.15,41.5,-21.174999999999997,12.475000000000001
28,28,2013.1.2 12:00,34.0,-23.4,10.7,43.0,-18.85,13.95,38.5,-21.125,12.325
29,29,2013.1.2 13:00,33.0,-23.8,10.5,42.0,-18.95,13.7,37.5,-21.375,12.1
30,30,2013.1.2 14:00,35.0,-22.6,10.4,44.0,-18.25,13.45,39.5,-20.425,11.925
31,31,2013.1.2 15:00,36.0,-21.8,10.2,45.5,-17.7,13.2,40.75,-19.75,11.7
32,32,2013.1.2 16:00,36.0,-22.1,10.1,45.5,-18.25,13.15,40.75,-20.175,11.625
33,33,2013.1.2 17:00,38.0,-22.2,10.1,47.0,-18.65,13.15,42.5,-20.424999999999997,11.625
34,34,2013.1.2 18:00,42.0,-21.8,10.1,50.5,-18.8,13.15,46.25,-20.3,11.625
35,35,2013.1.2 19:00,44.0,-21.8,10.1,52.5,-19.05,13.15,48.25,-20.425,11.625
36,36,2013.1.2 2:00,53.0,-15.7,10.9,71.0,-9.25,14.6,62.0,-12.475,12.75
37,37,2013.1.2 20:00,48.0,-21.4,10.1,56.5,-18.75,13.15,52.25,-20.075,11.625
38,38,2013.1.2 21:00,49.0,-21.6,10.1,59.0,-18.65,13.15,54.0,-20.125,11.625
39,39,2013.1.2 22:00,50.0,-22.0,10.1,61.5,-18.85,13.15,55.75,-20.425,11.625
40,40,2013.1.2 23:00,50.0,-22.4,10.1,65.0,-18.65,13.15,57.5,-20.525,11.625
41,41,2013.1.2 3:00,31.0,-22.9,10.9,55.5,-14.65,14.6,43.25,-18.775,12.75
42,42,2013.1.2 4:00,34.0,-23.0,10.9,56.5,-15.65,14.65,45.25,-19.325,12.775
43,43,2013.1.2 5:00,43.0,-20.9,10.9,63.0,-14.9,14.65,53.0,-17.9,12.775
44,44,2013.1.2 6:00,46.0,-21.2,10.9,62.0,-15.85,14.65,54.0,-18.525,12.775
45,45,2013.1.2 7:00,46.0,-21.9,10.9,58.5,-17.45,14.65,52.25,-19.674999999999997,12.775
46,46,2013.1.2 8:00,44.0,-22.7,10.9,58.5,-18.1,14.6,51.25,-20.4,12.75
47,47,2013.1.2 9:00,36.0,-24.7,10.9,46.5,-20.15,14.55,41.25,-22.424999999999997,12.725000000000001
48,48,2013.1.3 0:00,52.0,-22.7,10.1,66.5,-19.05,13.15,59.25,-20.875,11.625
49,49,2013.1.3 1:00,53.0,-23.0,10.1,66.5,-19.25,13.15,59.75,-21.125,11.625
50,50,2013.1.3 10:00,37.0,-25.4,10.1,50.0,-21.5,13.15,43.5,-23.45,11.625
51,51,2013.1.3 11:00,33.0,-25.8,10.0,39.5,-22.5,13.0,36.25,-24.15,11.5
52,52,2013.1.3 12:00,31.0,-25.5,9.9,36.0,-22.6,12.85,33.5,-24.05,11.375
53,53,2013.1.3 13:00,32.0,-24.5,9.8,37.0,-21.5,12.7,34.5,-23.0,11.25
54,54,2013.1.3 14:00,33.0,-23.5,9.6,39.0,-19.95,12.5,36.0,-21.725,11.05
55,55,2013.1.3 15:00,32.0,-23.3,9.4,37.5,-19.85,12.25,34.75,-21.575000000000003,10.825
56,56,2013.1.3 16:00,35.0,-22.4,9.2,41.5,-18.65,12.0,38.25,-20.525,10.6
57,57,2013.1.3 17:00,38.0,-21.5,9.2,45.5,-18.4,11.9,41.75,-19.95,10.55
58,58,2013.1.3 18:00,42.0,-21.1,9.2,51.5,-17.95,11.9,46.75,-19.525,10.55
59,59,2013.1.3 19:00,42.0,-21.6,9.2,53.5,-18.0,11.9,47.75,-19.8,10.55
60,60,2013.1.3 2:00,53.0,-23.3,10.1,67.0,-19.3,13.15,60.0,-21.3,11.625
61,61,2013.1.3 20:00,44.0,-21.7,9.2,58.0,-17.95,11.9,51.0,-19.825,10.55
62,62,2013.1.3 21:00,46.0,-21.7,9.2,60.5,-18.0,11.9,53.25,-19.85,10.55
63,63,2013.1.3 22:00,47.0,-21.8,9.2,62.5,-18.2,11.9,54.75,-20.0,10.55
64,64,2013.1.3 23:00,46.0,-22.4,9.2,62.0,-18.55,11.9,54.0,-20.475,10.55
65,65,2013.1.3 3:00,50.0,-24.0,10.1,67.5,-19.5,13.15,58.75,-21.75,11.625
66,66,2013.1.3 4:00,48.0,-24.5,10.1,64.0,-20.45,13.15,56.0,-22.475,11.625
67,67,2013.1.3 5:00,46.0,-25.1,10.1,61.5,-21.6,13.15,53.75,-23.35,11.625
68,68,2013.1.3 6:00,49.0,-24.5,10.1,63.0,-21.7,13.15,56.0,-23.1,11.625
69,69,2013.1.3 7:00,46.0,-25.2,10.1,62.5,-22.1,13.15,54.25,-23.65,11.625
70,70,2013.1.3 8:00,46.0,-25.0,10.1,61.5,-22.25,13.15,53.75,-23.625,11.625
71,71,2013.1.3 9:00,42.0,-25.4,10.1,58.0,-21.75,13.15,50.0,-23.575,11.625
72,72,2013.1.4 0:00,50.0,-21.8,9.2,65.5,-18.3,11.9,57.75,-20.05,10.55
73,73,2013.1.4 1:00,46.0,-22.7,9.2,62.0,-19.3,11.9,54.0,-21.0,10.55
74,74,2013.1.4 10:00,45.0,-21.3,9.2,59.0,-18.6,11.85,52.0,-19.950000000000003,10.524999999999999
75,75,2013.1.4 11:00,32.0,-23.0,9.2,42.5,-19.75,11.8,37.25,-21.375,10.5
76,76,2013.1.4 12:00,28.0,-23.0,9.0,37.0,-20.05,11.65,32.5,-21.525,10.325
77,77,2013.1.4 13:00,34.0,-19.7,8.6,37.0,-18.45,11.35,35.5,-19.075,9.975
78,78,2013.1.4 14:00,29.0,-21.4,8.3,35.5,-18.55,11.1,32.25,-19.975,9.7
79,79,2013.1.4 15:00,33.0,-20.1,7.9,36.0,-18.2,10.8,34.5,-19.15,9.350000000000001
80,80,2013.1.4 16:00,31.0,-21.0,7.6,35.5,-18.5,10.55,33.25,-19.75,9.075
81,81,2013.1.4 17:00,33.0,-21.2,7.5,38.5,-18.5,10.45,35.75,-19.85,8.975
82,82,2013.1.4 18:00,34.0,-21.8,7.5,41.0,-18.8,10.45,37.5,-20.3,8.975
83,83,2013.1.4 19:00,37.0,-21.3,7.5,47.0,-17.95,10.45,42.0,-19.625,8.975
84,84,2013.1.4 2:00,47.0,-22.7,9.2,63.0,-19.4,11.9,55.0,-21.049999999999997,10.55
85,85,2013.1.4 20:00,41.0,-20.3,7.5,49.5,-17.7,10.45,45.25,-19.0,8.975
86,86,2013.1.4 21:00,47.0,-19.0,7.5,55.5,-17.0,10.45,51.25,-18.0,8.975
87,87,2013.1.4 22:00,49.0,-18.7,7.5,59.5,-16.85,10.45,54.25,-17.775,8.975
88,88,2013.1.4 23:00,55.0,-17.8,7.5,64.0,-16.6,10.45,59.5,-17.200000000000003,8.975
89,89,2013.1.4 3:00,49.0,-22.5,9.2,66.5,-19.25,11.9,57.75,-20.875,10.55
90,90,2013.1.4 4:00,50.0,-22.3,9.2,68.0,-19.4,11.9,59.0,-20.85,10.55
91,91,2013.1.4 5:00,55.0,-21.3,9.2,71.5,-18.95,11.9,63.25,-20.125,10.55
92,92,2013.1.4 6:00,56.0,-21.3,9.2,70.5,-19.25,11.9,63.25,-20.275,10.55
93,93,2013.1.4 7:00,59.0,-20.9,9.2,73.5,-19.25,11.9,66.25,-20.075,10.55
94,94,2013.1.4 8:00,58.0,-21.2,9.2,72.5,-19.65,11.9,65.25,-20.424999999999997,10.55
95,95,2013.1.4 9:00,54.0,-21.1,9.2,69.5,-18.75,11.9,61.75,-19.925,10.55
96,96,2013.1.5 0:00,53.0,-18.2,7.5,64.5,-16.75,10.45,58.75,-17.475,8.975
97,97,2013.1.5 1:00,53.0,-18.6,7.5,66.0,-16.9,10.45,59.5,-17.75,8.975
98,98,2013.1.5 10:00,49.0,-17.5,7.5,59.5,-15.85,10.45,54.25,-16.675,8.975
99,99,2013.1.5 11:00,48.0,-16.0,7.5,51.5,-15.15,10.45,49.75,-15.575,8.975
100,100,2013.1.5 12:00,45.0,-15.4,7.5,47.5,-13.9,10.35,46.25,-14.65,8.925
101,101,2013.1.5 13:00,43.0,-13.8,7.4,46.0,-12.45,10.25,44.5,-13.125,8.825
102,102,2013.1.5 14:00,46.0,-11.4,7.3,46.0,-10.65,10.1,46.0,-11.025,8.7
103,103,2013.1.5 15:00,53.0,-10.1,7.3,55.0,-8.9,10.0,54.0,-9.5,8.65
104,104,2013.1.5 16:00,57.0,-9.6,7.3,57.5,-8.5,9.95,57.25,-9.05,8.625
105,105,2013.1.5 17:00,63.0,-9.0,7.3,63.5,-8.1,9.95,63.25,-8.55,8.625
106,106,2013.1.5 18:00,63.0,-9.4,7.3,66.0,-8.05,9.95,64.5,-8.725000000000001,8.625
107,107,2013.1.5 19:00,66.0,-9.4,7.3,66.5,-8.65,9.95,66.25,-9.025,8.625
108,108,2013.1.5 2:00,54.0,-18.4,7.5,68.0,-16.9,10.45,61.0,-17.65,8.975
109,109,2013.1.5 20:00,69.0,-9.3,7.3,70.0,-8.65,9.95,69.5,-8.975000000000001,8.625
110,110,2013.1.5 21:00,72.0,-9.0,7.3,73.0,-8.1,9.95,72.5,-8.55,8.625
111,111,2013.1.5 22:00,66.0,-10.4,7.3,72.0,-8.9,9.95,69.0,-9.65,8.625
112,112,2013.1.5 23:00,70.0,-10.2,7.3,76.5,-8.8,9.95,73.25,-9.5,8.625
113,113,2013.1.5 3:00,62.0,-17.2,7.5,72.0,-16.3,10.45,67.0,-16.75,8.975
114,114,2013.1.5 4:00,62.0,-17.7,7.5,73.5,-16.55,10.45,67.75,-17.125,8.975
115,115,2013.1.5 5:00,60.0,-18.2,7.5,73.0,-17.05,10.45,66.5,-17.625,8.975
116,116,2013.1.5 6:00,56.0,-18.8,7.5,71.0,-17.55,10.45,63.5,-18.175,8.975
117,117,2013.1.5 7:00,61.0,-17.7,7.5,75.0,-16.95,10.45,68.0,-17.325,8.975
118,118,2013.1.5 8:00,63.0,-17.7,7.5,75.5,-17.15,10.45,69.25,-17.424999999999997,8.975
119,119,2013.1.5 9:00,57.0,-17.8,7.5,71.0,-16.5,10.45,64.0,-17.15,8.975
120,120,2013.1.6 0:00,67.0,-11.2,7.3,75.5,-9.25,9.95,71.25,-10.225,8.625
121,121,2013.1.6 1:00,74.0,-10.4,7.3,80.5,-8.9,9.95,77.25,-9.65,8.625
122,122,2013.1.6 10:00,67.0,-12.1,7.3,72.5,-9.75,9.95,69.75,-10.925,8.625
123,123,2013.1.6 11:00,61.0,-12.2,7.3,62.5,-10.15,9.95,61.75,-11.175,8.625
124,124,2013.1.6 12:00,54.0,-12.3,7.3,53.0,-11.35,9.95,53.5,-11.825,8.625
125,125,2013.1.6 13:00,41.0,-14.2,7.2,43.5,-12.6,9.85,42.25,-13.399999999999999,8.525
126,126,2013.1.6 14:00,50.0,-11.4,7.2,44.0,-12.3,9.85,47.0,-11.850000000000001,8.525
127,127,2013.1.6 15:00,41.0,-13.5,7.2,38.0,-13.3,9.8,39.5,-13.4,8.5
128,128,2013.1.6 16:00,32.0,-16.8,7.1,35.0,-14.5,9.75,33.5,-15.65,8.425
129,129,2013.1.6 17:00,31.0,-18.4,7.1,38.0,-14.85,9.75,34.5,-16.625,8.425
130,130,2013.1.6 18:00,37.0,-17.2,7.1,45.5,-13.75,9.75,41.25,-15.475,8.425
131,131,2013.1.6 19:00,43.0,-16.0,7.1,45.5,-14.75,9.75,44.25,-15.375,8.425
132,132,2013.1.6 2:00,76.0,-10.9,7.3,82.0,-9.45,9.95,79.0,-10.175,8.625
133,133,2013.1.6 20:00,47.0,-15.3,7.1,46.0,-15.25,9.75,46.5,-15.275,8.425
134,134,2013.1.6 21:00,52.0,-14.4,7.1,48.5,-15.0,9.75,50.25,-14.7,8.425
135,135,2013.1.6 22:00,58.0,-13.6,7.1,55.5,-14.1,9.75,56.75,-13.85,8.425
136,136,2013.1.6 23:00,55.0,-14.4,7.1,61.5,-13.5,9.75,58.25,-13.95,8.425
137,137,2013.1.6 3:00,77.0,-11.3,7.3,83.5,-9.85,9.95,80.25,-10.575,8.625
138,138,2013.1.6 4:00,78.0,-11.4,7.3,84.0,-10.0,9.95,81.0,-10.7,8.625
139,139,2013.1.6 5:00,81.0,-11.2,7.3,86.5,-9.95,9.95,83.75,-10.575,8.625
140,140,2013.1.6 6:00,79.0,-11.8,7.3,85.5,-10.35,9.95,82.25,-11.075,8.625
141,141,2013.1.6 7:00,80.0,-12.0,7.3,87.0,-10.35,9.95,83.5,-11.175,8.625
142,142,2013.1.6 8:00,82.0,-11.9,7.3,88.0,-10.2,9.95,85.0,-11.05,8.625
143,143,2013.1.6 9:00,77.0,-12.1,7.3,84.0,-10.05,9.95,80.5,-11.075,8.625
144,144,2013.1.7 0:00,58.0,-13.9,7.1,63.5,-13.25,9.75,60.75,-13.575,8.425
145,145,2013.1.7 1:00,59.0,-14.0,7.1,65.0,-13.65,9.75,62.0,-13.825,8.425
146,146,2013.1.7 10:00,60.0,-12.7,7.1,64.0,-11.9,9.75,62.0,-12.3,8.425
147,147,2013.1.7 11:00,46.0,-14.5,7.1,48.0,-13.7,9.7,47.0,-14.1,8.399999999999999
148,148,2013.1.7 12:00,34.0,-16.5,7.1,39.5,-14.45,9.65,36.75,-15.475,8.375
149,149,2013.1.7 13:00,42.0,-12.5,7.0,39.0,-13.0,9.55,40.5,-12.75,8.275
150,150,2013.1.7 14:00,38.0,-12.6,6.9,36.5,-12.9,9.45,37.25,-12.75,8.175
151,151,2013.1.7 15:00,40.0,-13.1,6.9,41.0,-11.8,9.4,40.5,-12.45,8.15
152,152,2013.1.7 16:00,44.0,-12.2,6.9,45.5,-11.05,9.3,44.75,-11.625,8.100000000000001
153,153,2013.1.7 17:00,49.0,-11.6,6.9,50.5,-10.35,9.3,49.75,-10.975,8.100000000000001
154,154,2013.1.7 18:00,49.0,-12.2,6.9,53.5,-10.45,9.3,51.25,-11.325,8.100000000000001
155,155,2013.1.7 19:00,49.0,-12.6,6.9,56.5,-10.45,9.3,52.75,-11.524999999999999,8.100000000000001
156,156,2013.1.7 2:00,60.0,-14.4,7.1,68.0,-13.7,9.75,64.0,-14.05,8.425
157,157,2013.1.7 20:00,50.0,-12.6,6.9,58.5,-10.4,9.3,54.25,-11.5,8.100000000000001
158,158,2013.1.7 21:00,49.0,-13.1,6.9,59.0,-10.75,9.3,54.0,-11.925,8.100000000000001
159,159,2013.1.7 22:00,61.0,-10.8,6.9,66.0,-9.65,9.3,63.5,-10.225000000000001,8.100000000000001
160,160,2013.1.7 23:00,68.0,-9.9,6.9,71.5,-9.15,9.3,69.75,-9.525,8.100000000000001
161,161,2013.1.7 3:00,61.0,-14.4,7.1,69.5,-13.65,9.75,65.25,-14.025,8.425
162,162,2013.1.7 4:00,63.0,-14.4,7.1,72.5,-13.5,9.75,67.75,-13.95,8.425
163,163,2013.1.7 5:00,61.0,-14.8,7.1,71.5,-13.9,9.75,66.25,-14.350000000000001,8.425
164,164,2013.1.7 6:00,67.0,-13.7,7.1,75.5,-13.1,9.75,71.25,-13.399999999999999,8.425
165,165,2013.1.7 7:00,65.0,-13.6,7.1,74.0,-13.05,9.75,69.5,-13.325,8.425
166,166,2013.1.7 8:00,65.0,-13.7,7.1,75.5,-12.85,9.75,70.25,-13.274999999999999,8.425
167,167,2013.1.7 9:00,62.0,-13.6,7.1,69.5,-12.55,9.75,65.75,-13.075,8.425
168,168,2013.1.8 0:00,67.0,-10.2,6.9,72.5,-9.5,9.3,69.75,-9.85,8.100000000000001
169,169,2013.1.8 1:00,66.0,-10.8,6.9,74.0,-9.85,9.3,70.0,-10.325,8.100000000000001
170,170,2013.1.8 10:00,63.0,-10.4,6.9,71.5,-9.3,9.3,67.25,-9.850000000000001,8.100000000000001
171,171,2013.1.8 11:00,60.0,-9.9,6.9,64.0,-8.85,9.3,62.0,-9.375,8.100000000000001
172,172,2013.1.8 12:00,55.0,-10.5,6.7,57.0,-9.0,9.15,56.0,-9.75,7.925000000000001
173,173,2013.1.8 13:00,42.0,-13.3,6.6,50.0,-9.75,9.05,46.0,-11.525,7.825
174,174,2013.1.8 14:00,29.0,-17.6,6.5,39.0,-12.8,8.95,34.0,-15.200000000000001,7.725
175,175,2013.1.8 15:00,32.0,-15.3,6.4,39.5,-11.85,8.85,35.75,-13.575,7.625
176,176,2013.1.8 16:00,37.0,-14.3,6.4,42.0,-11.5,8.85,39.5,-12.9,7.625
177,177,2013.1.8 17:00,42.0,-13.7,6.4,43.5,-12.15,8.85,42.75,-12.925,7.625
178,178,2013.1.8 18:00,40.0,-15.0,6.4,44.0,-13.1,8.85,42.0,-14.05,7.625
179,179,2013.1.8 19:00,46.0,-14.0,6.4,50.5,-12.3,8.85,48.25,-13.15,7.625
180,180,2013.1.8 2:00,63.0,-11.4,6.9,74.5,-10.15,9.3,68.75,-10.775,8.100000000000001
181,181,2013.1.8 20:00,50.0,-13.4,6.4,54.0,-11.85,8.85,52.0,-12.625,7.625
182,182,2013.1.8 21:00,47.0,-14.8,6.4,53.0,-12.75,8.85,50.0,-13.775,7.625
183,183,2013.1.8 22:00,44.0,-16.3,6.4,53.0,-13.5,8.85,48.5,-14.9,7.625
184,184,2013.1.8 23:00,43.0,-16.9,6.4,53.0,-13.95,8.85,48.0,-15.424999999999999,7.625
185,185,2013.1.8 3:00,69.0,-10.5,6.9,78.5,-9.8,9.3,73.75,-10.15,8.100000000000001
186,186,2013.1.8 4:00,74.0,-10.0,6.9,80.5,-9.9,9.3,77.25,-9.95,8.100000000000001
187,187,2013.1.8 5:00,66.0,-11.3,6.9,78.0,-10.6,9.3,72.0,-10.95,8.100000000000001
188,188,2013.1.8 6:00,70.0,-10.7,6.9,80.5,-10.35,9.3,75.25,-10.524999999999999,8.100000000000001
189,189,2013.1.8 7:00,73.0,-10.6,6.9,82.0,-10.45,9.3,77.5,-10.524999999999999,8.100000000000001
190,190,2013.1.8 8:00,74.0,-10.4,6.9,83.0,-10.25,9.3,78.5,-10.325,8.100000000000001
191,191,2013.1.8 9:00,69.0,-10.8,6.9,78.0,-10.2,9.3,73.5,-10.5,8.100000000000001
192,192,2013.1.9 0:00,45.0,-16.7,6.4,55.0,-13.75,8.85,50.0,-15.225,7.625
193,193,2013.1.9 1:00,50.0,-16.1,6.4,59.0,-13.1,8.85,54.5,-14.600000000000001,7.625
194,194,2013.1.9 10:00,37.0,-21.6,6.4,49.5,-16.7,8.85,43.25,-19.15,7.625
195,195,2013.1.9 11:00,35.0,-21.6,6.4,44.5,-16.95,8.85,39.75,-19.275,7.625
196,196,2013.1.9 12:00,29.0,-23.0,6.4,37.5,-18.2,8.8,33.25,-20.6,7.6000000000000005
197,197,2013.1.9 13:00,31.0,-21.8,6.4,36.0,-17.75,8.8,33.5,-19.775,7.6000000000000005
198,198,2013.1.9 14:00,32.0,-21.4,6.3,36.0,-17.7,8.75,34.0,-19.549999999999997,7.525
199,199,2013.1.9 15:00,31.0,-21.0,6.3,36.0,-17.4,8.75,33.5,-19.2,7.525
200,200,2013.1.9 16:00,30.0,-21.8,6.3,35.0,-18.1,8.75,32.5,-19.950000000000003,7.525
201,201,2013.1.9 17:00,30.0,-22.3,6.2,35.0,-19.15,8.7,32.5,-20.725,7.449999999999999
202,202,2013.1.9 18:00,33.0,-22.0,6.2,38.5,-19.05,8.7,35.75,-20.525,7.449999999999999
203,203,2013.1.9 19:00,36.0,-21.3,6.2,41.5,-18.85,8.7,38.75,-20.075000000000003,7.449999999999999
204,204,2013.1.9 2:00,48.0,-17.3,6.4,58.5,-13.85,8.85,53.25,-15.575,7.625
205,205,2013.1.9 20:00,39.0,-20.7,6.2,44.5,-18.45,8.7,41.75,-19.575,7.449999999999999
206,206,2013.1.9 21:00,39.0,-20.9,6.2,48.5,-18.05,8.7,43.75,-19.475,7.449999999999999
207,207,2013.1.9 22:00,44.0,-19.8,6.2,52.5,-17.5,8.7,48.25,-18.65,7.449999999999999
208,208,2013.1.9 23:00,44.0,-20.3,6.2,54.0,-17.5,8.7,49.0,-18.9,7.449999999999999
209,209,2013.1.9 3:00,50.0,-17.2,6.4,60.5,-13.95,8.85,55.25,-15.575,7.625
210,210,2013.1.9 4:00,51.0,-17.2,6.4,60.0,-14.1,8.85,55.5,-15.649999999999999,7.625
211,211,2013.1.9 5:00,53.0,-17.1,6.4,63.0,-14.0,8.85,58.0,-15.55,7.625
212,212,2013.1.9 6:00,51.0,-17.9,6.4,64.5,-14.1,8.85,57.75,-16.0,7.625
213,213,2013.1.9 7:00,52.0,-18.1,6.4,62.5,-14.75,8.85,57.25,-16.425,7.625
214,214,2013.1.9 8:00,46.0,-19.6,6.4,60.5,-15.9,8.85,53.25,-17.75,7.625
215,215,2013.1.9 9:00,40.0,-20.9,6.4,53.5,-16.5,8.85,46.75,-18.7,7.625
216,216,2013.1.10 0:00,35.0,-23.0,6.2,53.0,-18.4,8.7,44.0,-20.7,7.449999999999999
217,217,2013.1.10 1:00,37.0,-22.7,6.2,55.0,-18.5,8.7,46.0,-20.6,7.449999999999999
218,218,2013.1.10 10:00,34.0,-22.7,6.2,36.5,-20.95,8.7,35.25,-21.825,7.449999999999999
219,219,2013.1.10 11:00,29.0,-23.1,6.2,30.5,-21.5,8.7,29.75,-22.3,7.449999999999999
220,220,2013.1.10 12:00,32.0,-19.7,6.2,31.5,-19.3,8.7,31.75,-19.5,7.449999999999999
221,221,2013.1.10 13:00,28.0,-20.0,6.2,29.0,-19.4,8.7,28.5,-19.7,7.449999999999999
222,222,2013.1.10 14:00,27.0,-20.4,6.2,28.5,-19.2,8.7,27.75,-19.799999999999997,7.449999999999999
223,223,2013.1.10 15:00,29.0,-19.6,6.1,29.0,-18.65,8.6,29.0,-19.125,7.35
224,224,2013.1.10 16:00,28.0,-20.0,6.1,29.5,-18.4,8.6,28.75,-19.2,7.35
225,225,2013.1.10 17:00,29.0,-20.5,6.1,31.5,-18.8,8.6,30.25,-19.65,7.35
226,226,2013.1.10 18:00,31.0,-20.6,6.1,35.0,-18.6,8.6,33.0,-19.6,7.35
227,227,2013.1.10 19:00,35.0,-19.7,6.1,38.5,-18.2,8.6,36.75,-18.95,7.35
228,228,2013.1.10 2:00,44.0,-21.1,6.2,60.5,-17.7,8.7,52.25,-19.4,7.449999999999999
229,229,2013.1.10 20:00,40.0,-18.2,6.1,43.5,-17.15,8.6,41.75,-17.674999999999997,7.35
230,230,2013.1.10 21:00,42.0,-17.9,6.1,46.0,-16.9,8.6,44.0,-17.4,7.35
231,231,2013.1.10 22:00,42.0,-17.5,6.1,48.0,-16.65,8.6,45.0,-17.075,7.35
232,232,2013.1.10 23:00,45.0,-17.3,6.1,53.5,-16.15,8.6,49.25,-16.725,7.35
233,233,2013.1.10 3:00,48.0,-20.4,6.2,64.0,-17.4,8.7,56.0,-18.9,7.449999999999999
234,234,2013.1.10 4:00,50.0,-20.4,6.2,66.5,-17.35,8.7,58.25,-18.875,7.449999999999999
235,235,2013.1.10 5:00,49.0,-20.6,6.2,67.0,-17.55,8.7,58.0,-19.075000000000003,7.449999999999999
236,236,2013.1.10 6:00,50.0,-20.5,6.2,67.0,-17.7,8.7,58.5,-19.1,7.449999999999999
237,237,2013.1.10 7:00,52.0,-19.8,6.2,63.5,-18.35,8.7,57.75,-19.075000000000003,7.449999999999999
238,238,2013.1.10 8:00,56.0,-19.1,6.2,63.5,-18.45,8.7,59.75,-18.775,7.449999999999999
239,239,2013.1.10 9:00,47.0,-20.5,6.2,53.0,-18.7,8.7,50.0,-19.6,7.449999999999999
240,240,2013.1.11 0:00,51.0,-16.1,6.1,59.0,-15.4,8.6,55.0,-15.75,7.35
241,241,2013.1.11 1:00,46.0,-16.8,6.1,57.5,-15.9,8.6,51.75,-16.35,7.35
242,242,2013.1.11 10:00,52.0,-13.4,6.1,61.0,-12.85,8.6,56.5,-13.125,7.35
243,243,2013.1.11 11:00,48.0,-13.1,6.1,54.0,-12.0,8.6,51.0,-12.55,7.35
244,244,2013.1.11 12:00,44.0,-12.7,6.1,48.5,-11.35,8.55,46.25,-12.024999999999999,7.325
245,245,2013.1.11 13:00,42.0,-11.8,6.1,48.0,-9.7,8.5,45.0,-10.75,7.3
246,246,2013.1.11 14:00,42.0,-11.0,6.0,47.0,-9.2,8.4,44.5,-10.1,7.2
247,247,2013.1.11 15:00,41.0,-10.7,6.0,47.5,-8.65,8.35,44.25,-9.675,7.175
248,248,2013.1.11 16:00,46.0,-9.8,6.0,49.5,-8.55,8.3,47.75,-9.175,7.15
249,249,2013.1.11 17:00,48.0,-9.7,6.0,52.5,-8.45,8.3,50.25,-9.075,7.15
